config_id,clip_limit,tile_grid_size,auroc,f1,accuracy,params,latency_ms,wall_time_s,preprocessing_overhead_ms,delta_auroc_vs_baseline,delta_f1_vs_baseline,stability_notes
clahe_clip1.0_tile4x4,1.000000,4,0.672786,0.617112,0.655272,2250,1.667938,383.499480,2.778558,-0.010694,-0.022657,stable
clahe_clip1.0_tile8x8,1.000000,8,0.682670,0.618070,0.641791,2250,1.766345,580.166891,7.833696,-0.000810,-0.021699,stable
clahe_clip1.0_tile16x16,1.000000,16,0.689450,0.606852,0.651902,2250,1.411976,1310.990040,26.961463,0.005970,-0.032917,f1_moderate
clahe_clip2.0_tile4x4,2.000000,4,0.656481,0.564480,0.629273,2250,1.402749,374.262450,2.393964,-0.026999,-0.075289,f1_degraded
clahe_clip2.0_tile8x8,2.000000,8,0.696171,0.620097,0.659605,2250,1.427283,564.811950,7.493201,0.012691,-0.019672,stable
clahe_clip2.0_tile16x16,2.000000,16,0.701327,0.623482,0.641791,2250,1.536234,1285.667848,28.587689,0.017847,-0.016287,stable
clahe_clip3.0_tile4x4,3.000000,4,0.723922,0.677858,0.611940,2250,1.407026,371.250444,2.526242,0.040442,0.038089,f1_moderate
clahe_clip3.0_tile8x8,3.000000,8,0.703721,0.650844,0.631680,2250,1.435042,558.788816,7.690561,0.020241,0.011075,stable
clahe_clip3.0_tile16x16,3.000000,16,0.707544,0.644133,0.645161,2250,1.523597,1262.212326,27.587300,0.024064,0.004364,stable
clahe_clip4.0_tile4x4,4.000000,4,0.715506,0.669931,0.610496,2250,1.401427,367.561892,2.422231,0.032026,0.030162,f1_moderate
clahe_clip4.0_tile8x8,4.000000,8,0.715356,0.580870,0.651902,2250,1.437427,548.816214,7.544114,0.031876,-0.058899,f1_moderate
clahe_clip4.0_tile16x16,4.000000,16,0.714682,0.659361,0.640828,2250,1.488661,1298.039411,28.766570,0.031202,0.019592,stable
