rank,candidate,batch_size,num_workers,pin_memory,persistent_workers,prefetch_factor,epoch_wall_time_s,avg_batch_time_ms,samples_per_second,gpu_util_avg_pct,gpu_util_max_pct,gpu_mem_used_mb,cpu_util_avg_pct,oom,stable,workstation_notes
1,clahe_no_augmentation,8,4,true,true,2,2.156,5.58,371.1,45.8,52.0,1836,43.1,false,true,ok
2,clahe_no_augmentation,16,4,false,true,2,4.396,12.77,364.0,51.7,57.0,2903,50.9,false,true,ok
3,clahe_no_augmentation,8,4,false,true,2,2.213,7.28,361.5,44.0,52.0,1835,43.8,false,true,ok
4,clahe_no_augmentation,16,4,true,true,2,4.483,14.82,356.9,48.6,56.0,2918,54.1,false,true,ok
5,clahe_no_augmentation,16,4,false,false,2,4.599,15.77,347.9,41.6,57.0,2906,51.4,false,true,ok
6,clahe_no_augmentation,8,4,true,false,2,2.303,6.36,347.3,44.8,52.0,1835,45.8,false,true,ok
7,clahe_no_augmentation,16,4,true,false,2,4.627,12.17,345.8,50.6,56.0,2900,52.4,false,true,ok
8,clahe_small_rotation,16,4,true,true,2,4.687,12.66,341.4,40.9,47.0,2726,44.6,false,true,ok
9,clahe_no_augmentation,8,4,false,false,2,2.363,7.56,338.5,34.8,48.0,1836,45.7,false,true,ok
10,clahe_small_rotation,16,4,false,true,2,4.764,15.04,335.9,41.9,48.0,2727,44.9,false,true,ok
11,clahe_no_augmentation,4,4,true,true,2,1.201,4.23,333.1,39.7,40.0,1482,45.3,false,true,ok
12,clahe_small_rotation,16,4,true,false,2,4.857,11.52,329.5,41.9,46.0,2727,43.8,false,true,ok
13,clahe_small_rotation,8,4,true,true,2,2.431,7.27,329.1,39.6,45.0,2894,45.0,false,true,ok
14,clahe_small_rotation,16,4,false,false,2,4.890,12.18,327.2,38.2,47.0,2726,44.6,false,true,ok
15,clahe_no_augmentation,4,4,false,true,2,1.257,4.29,318.3,37.0,40.0,1481,50.0,false,true,ok
16,clahe_small_rotation,8,4,true,false,2,2.545,7.16,314.4,39.0,44.0,2893,44.6,false,true,ok
17,clahe_no_augmentation,4,4,true,false,2,1.273,3.97,314.2,46.0,49.0,1481,48.7,false,true,ok
18,clahe_small_rotation,8,4,false,true,2,2.559,6.98,312.6,39.8,45.0,2895,48.7,false,true,ok
19,clahe_small_rotation,8,4,false,false,2,2.592,7.01,308.6,33.6,45.0,2895,44.3,false,true,ok
