rank,candidate_id,seed,auroc,f1,accuracy,params,latency_ms,wall_time_s,delta_auroc_vs_q38c,delta_f1_vs_q38c
1,clahe_no_augmentation,42,0.728216,0.653524,0.661531,2250,1.331661,90.406843,0.004294,-0.024334
1,clahe_no_augmentation,7,0.709405,0.570414,0.650457,2250,1.333057,89.394264,-0.014517,-0.107444
1,clahe_no_augmentation,123,0.721256,0.658124,0.640347,2250,1.383175,89.335572,-0.002666,-0.019734
2,clahe_horizontal_flip,42,0.740035,0.681501,0.648532,2250,1.397056,98.391516,0.016113,0.003643
2,clahe_horizontal_flip,7,0.698507,0.551143,0.640828,2250,1.368053,98.892476,-0.025415,-0.126715
2,clahe_horizontal_flip,123,0.704459,0.656782,0.621088,2250,1.343494,91.551225,-0.019463,-0.021076
3,clahe_combined_aug,42,0.715707,0.651913,0.636495,2250,1.371838,103.656963,-0.008215,-0.025945
3,clahe_combined_aug,7,0.703255,0.534913,0.640828,2250,1.338482,99.319260,-0.020667,-0.142945
3,clahe_combined_aug,123,0.710364,0.631321,0.638421,2250,1.382232,98.369393,-0.013558,-0.046537
rank,candidate_id,row_type,mean_auroc,std_auroc,ci95_lo_auroc,ci95_hi_auroc,mean_f1,std_f1,ci95_lo_f1,ci95_hi_f1,mean_accuracy,delta_mean_auroc_vs_q38c,delta_mean_f1_vs_q38c,seeds_auroc_beat_q38c,seeds_f1_beat_q38c,seeds_auroc_beat_baseline,stability_label,augmentation_decision
1,clahe_no_augmentation,summary,0.719626,0.009511,0.695998,0.743253,0.627354,0.049365,0.504715,0.749993,0.650778,-0.004296,-0.050504,1,0,2,stable,CLOSE
2,clahe_horizontal_flip,summary,0.714333,0.022456,0.658545,0.770122,0.629809,0.069238,0.457797,0.801820,0.636816,-0.009589,-0.048049,1,1,1,moderate,CLOSE
3,clahe_combined_aug,summary,0.709775,0.006247,0.694256,0.725295,0.606049,0.062460,0.450877,0.761221,0.638581,-0.014147,-0.071809,0,0,0,stable,CLOSE
