rank,candidate_id,seed,auroc,f1,accuracy,params_backbone,params_head,params_total,latency_ms_per_batch,wall_time_s,delta_auroc_vs_q45a,delta_auroc_vs_q38c,delta_f1_vs_q38c
1,mobilenetv3_large,123,0.987855,0.90297,0.912343,2971952,2250,2974202,42.31,35.5,0.268255,0.263933,0.225112
2,convnext_tiny,7,0.987157,0.932015,0.934407,27818592,2250,27820842,81.65,68.5,0.267557,0.263235,0.254157
3,mobilenetv3_large,42,0.987149,0.944238,0.946333,2971952,2250,2974202,42.44,35.61,0.267549,0.263227,0.26638
4,mobilenetv3_large,7,0.987027,0.952092,0.952892,2971952,2250,2974202,41.98,35.22,0.267427,0.263105,0.274234
5,efficientnet_b0,7,0.986763,0.942047,0.943948,4007548,2250,4009798,43.18,36.22,0.267163,0.262841,0.264189
6,convnext_tiny,123,0.986682,0.937046,0.937984,27818592,2250,27820842,81.81,68.64,0.267082,0.26276,0.259188
7,convnext_tiny,42,0.985628,0.93381,0.93381,27818592,2250,27820842,81.29,68.2,0.266028,0.261706,0.255952
8,mobilenetv3_small,42,0.984298,0.922299,0.926655,927008,2250,929258,41.61,34.91,0.264698,0.260376,0.244441
9,mobilenetv3_small,7,0.982949,0.893617,0.904592,927008,2250,929258,41.1,34.48,0.263349,0.259027,0.215759
10,efficientnet_b0,123,0.982929,0.932153,0.931425,4007548,2250,4009798,41.93,35.18,0.263329,0.259007,0.254295
11,efficientnet_b0,42,0.979869,0.928486,0.928444,4007548,2250,4009798,42.9,35.99,0.260269,0.255947,0.250628
12,mobilenetv3_small,123,0.979311,0.907574,0.914132,927008,2250,929258,41.75,35.03,0.259711,0.255389,0.229716
13,baseline,42,0.743932,0.670831,0.685748,9612,2250,11862,44.65,37.46,0.024332,0.02001,-0.007027
14,baseline,7,0.733006,0.58926,0.662493,9612,2250,11862,42.03,35.27,0.013406,0.009084,-0.088598
15,baseline,123,0.702416,0.559647,0.643411,9612,2250,11862,41.97,35.21,-0.017184,-0.021506,-0.118211
